State,District,Location,Longitude,Latitude
Bihar,Banka,Mirzapur,86.7606,25.0806
Bihar,Gaya,Akauna,84.7756,24.5756
Bihar,Gaya,Guraru,84.7836,24.8017
Bihar,Gaya,Sahora,85.2033,24.9439
Bihar,Gaya,Banke Bazar,84.6667,24.5169
Bihar,Gaya,Bhadeya,84.9536,24.5186
Bihar,Gaya,Dangra More,85.1141,24.9658
Bihar,Gaya,Bhalua,85.0119,24.9814
Bihar,Gaya,Bodh Gaya,85.3005,24.8985
Bihar,Gaya,Dobhi,84.9183,24.5319
Bihar,Gaya,Magra,84.4856,24.4336
Bihar,Gaya,Fatehpur,85.2292,24.6417
Bihar,Gaya,Chand Chowra Chowk,85.1141,24.9658
Bihar,Gaya,Ram Kund,85.0156,24.8117
Bihar,Gaya,Baseta,84.5358,24.4353
Bihar,Gaya,Tarapur,85.1141,24.9658
Bihar,Jamui,Lalmatia,86.31,24.9836
Bihar,Nalanda,Pawapuri,85.55,25.1
Bihar,Nalanda,Pilkhi,85.3875,25.0222
Bihar,Nalanda,Rajgir,85.4042,25.0208
Bihar,Nawada,Basantpur,85.5667,24.8125
Bihar,Nawada,Chandinama,85.6686,24.7508
Bihar,Nawada,Pakribrawan Pond,85.7408,24.9553
Bihar,Nawada,Garhpar,85.6708,24.8292
Bihar,Nawada,Gonama,85.6861,24.875
Bihar,Nawada,Shahpur Morh,85.4183,24.6503
Bihar,Nawada,Warsaliganj,85.5736,25.0247
Bihar,Seikhpura,Barbigha,85.855,25.07
Bihar,Seikhpura,Pharpar,85.9111,25.225
Bihar,Seikhpura,Ariari,85.9244,25.0836
Bihar,Seikhpura,Ambari,85.8597,25.0489
Bihar,Seikhpura,Keoti1,85.7958,25.2167
Bihar,Seikhpura,Koeri Bigha,85.7439,25.2172
Bihar,Seikhpura,Ghat Kusumba,85.7378,25.217
Bihar,Seikhpura,Ghat Kusumba,85.7378,25.2169
Bihar,Seikhpura,Seikhpura,85.7925,25.1703
Bihar,Seikhpura,Chewara,85.6994,25.14
Chhattisgarh,Janjgir Champa,Saliabhata,82.8477,22.0208
Chhattisgarh,Kanker,Govindpur,81.4833,20.2833
Chhattisgarh,Korba,Chaitama,82.4333,22.2775
Chhattisgarh,Koriya,Akhradand,82.2479,23.2041
Chhattisgarh,Koriya,Biharpur,82.243,23.4026
Chhattisgarh,Koriya,Manendragarh,82.2058,23.2167
Chhattisgarh,Koriya,Nagpur,82.3186,23.2817
Chhattisgarh,Mahasamund,Khallari,82.2972,21.0833
Chhattisgarh,Raigarh,Khadgaon,83.1167,22.3792
Chhattisgarh,Raigarh,Khadgaon,83.1167,22.3792
Chhattisgarh,Rajnandgaon,Govindpur,80.7017,21.0998
Chhattisgarh,Rajnandgaon,Uraidabritola,80.7381,21.0822
Chhattisgarh,Rajnandgaon,Khairagarh,80.9708,21.4333
Chhattisgarh,Surajpur,Majeera,82.9514,23.1482
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
