State,District,Location,Longitude,Latitude
Assam,Goalpara,Salpara,90.7008,26.0128
Bihar,Arwal,Bansi Surajpur,84.7324,25.1146
Bihar,Aurangabad,Aurangabad,84.3845,24.7462
Bihar,Bhagalpur,Ramchandrapur Navtoliya,86.89,25.2367
Bihar,Buxar,Kesath ( Pokhratola),84.2489,25.4125
Bihar,Jehanabad,Kako,85.063,25.2286
Bihar,Jehanabad,Alubikha,85.0335,25.0721
Bihar,Katihar,Manihari,87.622,25.3392
Bihar,Muzzafarpur,Rajwara,84.9395,26.2585
Bihar,Samastipur,Karain,86.0103,25.8604
Bihar,Samastipur,Raipur,85.7965,25.7599
Bihar,Sitamarhi,Mahadeopatti,85.6338,26.7238
Bihar,Siwan,Tarwara Block,84.4863,26.1832
Bihar,Siwan,Jamanpura,84.2852,26.0778
Bihar,Siwan,Bhagar,84.3715,25.9514
Bihar,Supaul,Kario,86.6487,26.1187
Bihar,Vaishali,Mathura,85.3615,25.6298
Bihar,Vaishali,Namidih,85.181,25.8317
Bihar,Vaishali,Yadunathpur Chadbar,85.1823,25.8734
Chhattisgarh,Bemetara,Rampur (Bhand),81.5047,21.5226
Chhattisgarh,Durg,Sagona,81.4656,21.8131
Chhattisgarh,Kanker,Govindpur,81.4833,20.2833
Chhattisgarh,Korba,Tilkeja,82.7631,22.4714
Chhattisgarh,Korba,Kothari Naka,82.6805,22.1263
Chhattisgarh,Mungeli,Daukapa,81.828,22.0092
Chhattisgarh,Mungeli,Patharia (Chorbhatti),81.8389,22.115
Chhattisgarh,Raigarh,Jamgaon(Basti),83.5519,21.8692
Chhattisgarh,Rajnandgaon,Dhara,80.8594,21.255
Chhattisgarh,Rajnandgaon,Govindpur,80.7017,21.0998
Chhattisgarh,Rajnandgaon,Patewa,81.1038,21.3399
Chhattisgarh,Rajnandgaon,Ranitarai,81.0542,20.9978
Daman And Diu,Diu,Vanakbara,70.8753,20.7099
Daman And Diu,Diu,Wadiwadi,70.8832,20.7125
Daman And Diu,Diu,Zolawadi,70.9306,20.7242
Gujarat,Ahmedabad,Dalod,71.9675,23.3532
Gujarat,Amreli,Devaliya,71.1083,21.8208
Gujarat,Amreli,Dhrai( Balmukand),71.1481,21.8077
Gujarat,Amreli,Bagasara,70.9608,21.4768
Gujarat,Amreli,Luvariya,71.3958,21.625
Gujarat,Amreli,Mandal,71.5793,21.0994
Gujarat,Anand,Adas_Dw,73.0352,22.4725
