State,District,Location,Longitude,Latitude
Bihar,Aurangabad,Aurangabad,84.3845,24.7462
Bihar,Begusarai,Peernagar,86.2,25.5769
Bihar,Begusarai,Parihara,86.2738,25.536
Bihar,Begusarai,Cheriya Bariyarpur,86.0906,25.5853
Bihar,Begusarai,Kumbhidera,86.06,25.6524
Bihar,Begusarai,Manjaul   *,86.1233,25.5653
Bihar,Bhagalpur,Ramchandrapur Navtoliya,86.89,25.2367
Bihar,Buxar,Mishrvalia,83.9145,25.534
Bihar,Buxar,Kesath ( Pokhratola),84.2489,25.4125
Bihar,Buxar,Rajpur,84.1292,25.6847
Bihar,East Chamapran,Ghorasahan,85.1295,26.8165
Bihar,Gaya,Konch,84.7678,24.9181
Bihar,Jehanabad,Kako,85.063,25.2286
Bihar,Jehanabad,Alubikha,85.0335,25.0721
Bihar,Kaimur,Adhaura,83.6139,24.6958
Bihar,Katihar,Manihari,87.622,25.3392
Bihar,Khagaria,Pirnagra,86.729,25.611
Bihar,Khagaria,Dewari,86.714,25.363
Bihar,Lakhisarai,Arma,86.2464,25.2
Bihar,Madhepura,Murliganj,86.9963,25.8916
Bihar,Muzzafarpur,Rajwara,84.9395,26.2585
Bihar,Nalanda,Nirpur,85.4219,25.1372
Bihar,Nawada,Rupau,85.7525,24.8604
Bihar,Samastipur,Karain,86.0103,25.8604
Bihar,Samastipur,Tajpur,85.6694,25.8611
Bihar,Samastipur,Kishanpur,85.8438,25.9276
Bihar,Sitamarhi,Mahadeopatti,85.6338,26.7238
Bihar,Siwan,Jamanpura,84.2852,26.0778
Bihar,Siwan,Bhagar,84.3715,25.9514
Bihar,Supaul,Kario,86.6487,26.1187
Bihar,Vaishali,Mathura,85.3615,25.6298
Bihar,Vaishali,Namidih,85.181,25.8317
Bihar,Vaishali,Yadunathpur Chadbar,85.1823,25.8734
Bihar,Vaishali,Mushari Tola,85.5978,25.8036
Chhattisgarh,Balod,Danganiya,81.2869,21.0117
Chhattisgarh,Bemetara,Rampur (Bhand),81.5047,21.5226
Chhattisgarh,Bilaspur,Bilaspur (Hemunagar),82.1864,22.0533
Chhattisgarh,Bilaspur,Dagauri,82.0706,21.8939
Chhattisgarh,Bilaspur,Kuli,82.4161,22.1424
Chhattisgarh,Durg,Sagona,81.4656,21.8131
Chhattisgarh,Durg,Dargaon,81.3944,21.4917
Chhattisgarh,Janjgir Champa,Loharsi,82.5567,21.7708
Chhattisgarh,Jashpur,Pathalgaon,83.4625,22.5547
Chhattisgarh,Kawardha,Danganiya,81.2042,21.9639
Chhattisgarh,Korba,Tilkeja,82.7631,22.4714
Chhattisgarh,Korba,Kothari Naka,82.6805,22.1263
Chhattisgarh,Mahasamund,Badesara,83.09,21.3922
Chhattisgarh,Mungeli,Daukapa,81.828,22.0092
Chhattisgarh,Raigarh,Chaple,83.2,21.9833
Chhattisgarh,Raigarh,Jamgaon(Basti),83.5519,21.8692
Chhattisgarh,Rajnandgaon,Dhara,80.8594,21.255
Daman And Diu,Daman,Pariyari,72.8321,20.3766
Daman And Diu,Diu,Zolawadi,70.9306,20.7242
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
Gujarat,Ahmedabad,Dalod,71.9675,23.3532
Gujarat,Amreli,Devaliya,71.1083,21.8208
Gujarat,Amreli,Dhrai( Balmukand),71.1481,21.8077
Gujarat,Amreli,Bagasara,70.9608,21.4768
Gujarat,Amreli,Luvariya,71.3958,21.625
Gujarat,Amreli,Mandal,71.5793,21.0994
Gujarat,Anand,Adas_Dw,73.0352,22.4725
Gujarat,Anand,Kansari1,72.6516,22.3413
Gujarat,Anand,Ghora,73.0496,22.6926
Gujarat,Arvalli,Boral,73.2083,23.125
Gujarat,Arvalli,Gadada,73.2531,23.5753
Gujarat,Arvalli,Seenawad,73.3986,23.4864
Gujarat,Banaskantha,Amirgadh,72.6477,24.401
Gujarat,Banaskantha,Virmpur,72.6523,24.2664
Gujarat,Banaskantha,Gangodra,72.3647,24.4397
Gujarat,Banaskantha,Dudhba,71.669,24.4794
Gujarat,Bharuch,Navetha,72.8281,21.7091
Gujarat,Bharuch,Raymal,72.8197,21.5191
Gujarat,Bharuch,Sahol,72.8184,21.4446
Gujarat,Bharuch,Jambusar2,72.8086,22.0494
Gujarat,Bharuch,Sarod,72.7557,22.161
Gujarat,Bharuch,Tankari,72.6691,21.9882
Gujarat,Bhavnagar,Bhudel,72.1578,21.6889
Gujarat,Bhavnagar,Bhutia,71.7,21.7472
Gujarat,Bhavnagar,Talaja2,72.0208,21.3657
Gujarat,Bhavnagar,Jalia,71.611,21.7999
Gujarat,Botad,Rajpada,71.6945,22.3084
Gujarat,Chhota Udepur,Govindpura,73.74,22.2155
Gujarat,Devbhoomi Dwarka,Nawagam,69.7656,21.9763
Gujarat,Devbhoomi Dwarka,Asota Mota,69.3733,22.2699
Gujarat,Devbhoomi Dwarka,Bhogat,69.2443,21.9905
Gujarat,Devbhoomi Dwarka,Gandhvi,69.3592,21.8557
Gujarat,Devbhoomi Dwarka,Gojines,69.2042,22.0246
Gujarat,Devbhoomi Dwarka,Gurgadh,69.1909,22.1947
Gujarat,Devbhoomi Dwarka,Khakharda,69.3721,22.1048
Gujarat,Devbhoomi Dwarka,Nagadiya,69.5622,21.9408
Gujarat,Devbhoomi Dwarka,Gorinja,69.0664,22.1593
Gujarat,Devbhumi Dwarka,Ambardi,69.8583,21.9166
Gujarat,Devbhumi Dwarka,Mota Kalawad,69.8343,21.9061
Gujarat,Devbhumi Dwarka,Juvanpur,69.3649,22.1677
Gujarat,Devbhumi Dwarka,Kalyanpur,69.0542,22.3076
Gujarat,Devbhumi Dwarka,Lambha 1,69.3084,21.9113
Gujarat,Devbhumi Dwarka,Hanzdapur,69.4368,22.1889
Gujarat,Devbhumi Dwarka,Vadtara,69.5077,22.2102
Gujarat,Devbhumi Dwarka,Amaliya Chokri,69.0955,22.2081
Gujarat,Devbhumi Dwarka,Mojap,68.9796,22.3615
Gujarat,Devbhumi Dwarka,Samrasar1,69.1063,22.3699
Gujarat,Devbhumi Dwarka,Varwada,68.9615,22.2977
Gujarat,Gir Somnath,Dolasa,70.8472,20.8194
Gujarat,Gir Somnath,Kodinar1,70.6974,20.8136
Gujarat,Gir Somnath,Nadiya Mandavi,71.0121,20.7425
Gujarat,Jamnagar,Gordhanpur,70.0027,22.4455
Gujarat,Jamnagar,Jambuda,70.2064,22.5215
Gujarat,Jamnagar,Moti Khavdi,69.8669,22.383
Gujarat,Jamnagar,Badanpar,70.3125,22.6875
Gujarat,Jamnagar,Keshiya,70.3971,22.6966
Gujarat,Junagadh,Arena,70.1771,21.0808
Gujarat,Junagadh,Khorada1,70.1876,21.0722
Gujarat,Junagadh,Osa,70.0642,21.3729
Gujarat,Junagadh,Shardagram,70.1431,21.1038
Gujarat,Junagadh,Khadiya,70.5181,21.423
Gujarat,Junagadh,Moti Kodiyar,70.5289,21.3248
Gujarat,Junagadh,Khokharda,70.3176,21.4201
Gujarat,Junagadh,Sobhavadla Gir,70.5875,21.347
Gujarat,Kachchh,Kothara,68.9088,23.1634
Gujarat,Kachchh,Mothala,69.1355,23.2031
Gujarat,Kachchh,Kakarwa,70.4066,23.4799
Gujarat,Kachchh,Ratanpur Khadir,70.3625,23.8622
Gujarat,Kachchh,Samakhiali,70.5041,23.3067
Gujarat,Kachchh,Khavada,69.7287,23.8461
Gujarat,Kachchh,Kotay,69.7847,23.3847
Gujarat,Kachchh,Lodai,69.9,23.3971
Gujarat,Kachchh,Sukhpar,69.6071,23.1987
Gujarat,Kachchh,Dolatpar,68.8936,23.5977
Gujarat,Kachchh,Kharai_1,68.684,23.4723
Gujarat,Kachchh,Lakhpat1,68.7749,23.8232
Gujarat,Kachchh,Bambhdai,69.0826,22.9415
