State,District,Location,Longitude,Latitude
Bihar,Gaya,Konch,84.7678,24.9181
Bihar,Lakhisarai,Arma,86.2464,25.2
Chhattisgarh,Bemetara,Rampur (Bhand),81.5047,21.5226
Chhattisgarh,Durg,Dargaon,81.3944,21.4917
Chhattisgarh,Jashpur,Pathalgaon,83.4625,22.5547
Chhattisgarh,Mungeli,Daukapa,81.828,22.0092
Daman And Diu,Diu,Zolawadi,70.9306,20.7242
Gujarat,Amreli,Devaliya,71.1083,21.8208
Gujarat,Amreli,Luvariya,71.3958,21.625
Gujarat,Amreli,Mandal,71.5793,21.0994
Gujarat,Anand,Ghora,73.0496,22.6926
Gujarat,Banaskantha,Gangodra,72.3647,24.4397
Gujarat,Banaskantha,Dudhba,71.669,24.4794
Gujarat,Bharuch,Sahol,72.8184,21.4446
Gujarat,Bharuch,Jambusar2,72.8086,22.0494
Gujarat,Bhavnagar,Bhutia,71.7,21.7472
Gujarat,Bhavnagar,Jalia,71.611,21.7999
Gujarat,Devbhoomi Dwarka,Gojines,69.2042,22.0246
Gujarat,Devbhoomi Dwarka,Gurgadh,69.1909,22.1947
Gujarat,Devbhumi Dwarka,Samrasar1,69.1063,22.3699
Gujarat,Devbhumi Dwarka,Varwada,68.9615,22.2977
Gujarat,Jamnagar,Keshiya,70.3971,22.6966
Gujarat,Junagadh,Arena,70.1771,21.0808
Gujarat,Junagadh,Khorada1,70.1876,21.0722
Gujarat,Junagadh,Osa,70.0642,21.3729
Gujarat,Junagadh,Shardagram,70.1431,21.1038
Gujarat,Junagadh,Sobhavadla Gir,70.5875,21.347
Gujarat,Kachchh,Kothara,68.9088,23.1634
Gujarat,Kachchh,Lodai,69.9,23.3971
Gujarat,Kachchh,Sukhpar,69.6071,23.1987
Gujarat,Kachchh,Dolatpar,68.8936,23.5977
Gujarat,Kachchh,Kharai_1,68.684,23.4723
Gujarat,Kachchh,Bambhdai,69.0826,22.9415
Gujarat,Kachchh,Adesar,70.9597,23.5549
Gujarat,Morbi,Chhatar,70.7531,22.5055
Gujarat,Morbi,Bhalgam,71.0826,22.4357
Gujarat,Patan,Moti Chander,71.7703,23.5992
Gujarat,Porbandar,Kadegi,69.9801,21.4519
Gujarat,Porbandar,Kutiyana1,70.0113,21.6284
Gujarat,Porbandar,Mojiwana,69.5743,21.86
Gujarat,Porbandar,Oddar,69.6921,21.5529
Gujarat,Rajkot,Kamlapur,71.1999,22.1382
Gujarat,Rajkot,Movaiya,70.6275,22.4579
Gujarat,Rajkot,Ranpur1,70.9274,22.3773
Gujarat,Rajkot,Sanosara,71.2304,22.2989
Gujarat,Sabarkantha,Khedbramha_1,73.05,24.0292
Gujarat,Sabarkantha,Matoda,73.0083,24.1111
Gujarat,Sabarkantha,Silwad,73.1167,24.0083
Gujarat,Sabarkantha,Choriwad,73.1194,23.9
Gujarat,Surendranagar,Bamanbor,71.0373,22.4147
Gujarat,Surendranagar,Moti Moladi,71.104,22.4179
Gujarat,Surendranagar,Moti Kathechi,71.9884,22.8919
Gujarat,Surendranagar,Muli,71.4644,22.639
Gujarat,Surendranagar,Dhajala,71.398,22.3807
Gujarat,Surendranagar,Sudamda,71.488,22.446
Gujarat,Valsad,Khadakval,73.2122,20.3075
Jammu & Kashmir,Jammu,Hamirpur Sidhar,74.5256,32.7765
Jharkhand,Bokaro,Nutandih,86.3287,23.5256
Jharkhand,Bokaro,Radhagaon Rly Station,86.0888,23.5967
Jharkhand,Dhanbad,Basudeopur,86.3684,23.782
Jharkhand,Hazaribagh,Chalkusa,85.7136,24.2377
Jharkhand,Saraikela,Nabibera,86.0069,22.6403
Maharashtra,Ahmednagar,Manjur,74.2808,19.95
Maharashtra,Ahmednagar,Mushadpur,74.4442,19.8969
Maharashtra,Ahmednagar,Dahigaon,74.8069,18.9625
Maharashtra,Ahmednagar,Jakhangaon,74.6306,19.1056
Maharashtra,Ahmednagar,Malkup,74.5308,19.1256
Maharashtra,Ahmednagar,Ghotan,75.3,19.4
Maharashtra,Ahmednagar,Khamgaon,75.1703,19.3864
Maharashtra,Ahmednagar,Chikhale,74.7167,18.8667
Maharashtra,Ahmednagar,Shrigonda,74.7167,18.6167
Maharashtra,Akola,Wadegaon,77.0675,20.4686
Maharashtra,Amravati,Khed,77.8611,21.3094
Maharashtra,Amravati,Rithpur,77.8167,21.2417
Maharashtra,Amravati,Umerkhed,78.1,21.4217
Maharashtra,Beed,Sheri Bk,75.085,18.8794
Maharashtra,Beed,Sirsala,76.3833,18.9833
Maharashtra,Beed,Manur,75.3167,19.0667
Maharashtra,Bhandara,Palari,79.7083,21.1333
Maharashtra,Buldhana,Waghul,76.2667,20.8717
Maharashtra,Buldhana,Mehkar,76.5667,20.15
Maharashtra,Chandrapur,Aksapur,79.6333,19.7583
Maharashtra,Jalgaon,Nimjahari,75.4544,20.6556
Maharashtra,Jalgaon,Neri,75.6639,20.8539
Maharashtra,Jalna,Jafrabad,76.0167,20.2
Maharashtra,Nanded,Balegaon,77.5761,18.9606
Maharashtra,Nandurbar,Ghuli,74.2536,21.4311
Maharashtra,Parbhani,Hadgaon-1,76.3133,19.3136
Maharashtra,Raigad,Dapoli,73,18.4778
Maharashtra,Raigad,Sukeli,73.1842,18.4875
Maharashtra,Sangli,Yevali,74.5167,17.0667
Maharashtra,Satara,Mirgaon,74.35,17.9667
Maharashtra,Solapur,Madha,75.5164,18.0383
Maharashtra,Solapur,Bhandi-Shegaon,75.2167,17.7167
Maharashtra,Solapur,Ranzani,75.4,17.6167
Maharashtra,Thane,Kolimb,73.2667,19.2833
Odisha,Anugul,Jamardihi,85.2572,21.5006
Odisha,Bargarh,Padampur 2,83.0711,20.9992
Odisha,Cuttack,Balijhari 1,85.2194,20.4106
Odisha,Dhenkanal,Dhaulpur,85.3569,20.7944
Odisha,Nuapada,Ranipur,82.7758,20.2786
Odisha,Puri,P-01 Krupa Sindura Patna,85.8361,19.8336
Odisha,Puri,P-19 Kashi Jagannathpur,85.8064,19.8167
Odisha,Sonapur,Singhijuba,83.7394,21.0833
Odisha,Sonapur,Phulmuthi,83.7922,20.995
Rajasthan,Alwar,Lachmangarh,76.86,27.35
Rajasthan,Alwar,Mandawar,76.5455,27.8696
Rajasthan,Barmer,Koloo,71.713,26.0274
Rajasthan,Barmer,Chawa,71.663,25.746
Rajasthan,Barmer,Thob,72.358,26.05
Rajasthan,Barmer,Samdari(Hs),72.5869,25.8182
Rajasthan,Bharatpur,Mandhera,77.353,27.395
Rajasthan,Bhilwara,Rampuriya_Pz,75.3288,25.2935
Rajasthan,Bhilwara,Gulabpura,74.67,25.9
Rajasthan,Bhilwara,Kotari,74.892,25.397
Rajasthan,Bikaner,Kelan,73.2522,28.4686
Rajasthan,Bikaner,Nokha,73.4672,27.5525
Rajasthan,Churu,Kheriya,74.87,28.3
Rajasthan,Churu,Sirsali,75.13,28.46
Rajasthan,Churu,Gagor,75.34,28.6
Rajasthan,Churu,Tidiyasar,74.754,28.066
Rajasthan,Churu,Rattanpura,75.2581,28.5347
Rajasthan,Churu,Taranagar,75.0342,28.6879
Rajasthan,Dausa,Jasuta Hs 2,76.3267,26.9667
Rajasthan,Ganganagar,Rupnagar,73.4411,29.7958
Rajasthan,Hanumangarh,Panditawali,74.2,29.4101
Rajasthan,Hanumangarh,Purabsar,74.283,29.033
Rajasthan,Hanumangarh,Rawatsar,74.414,29.253
Rajasthan,Hanumangarh,Sangariya,74.4636,29.8123
Rajasthan,Jaipur,Mozmabad,75.363,26.683
Rajasthan,Jalore,Narta,72.2748,25.0883
Rajasthan,Jalore,Bagra,72.6,25.1922
Rajasthan,Jalore,Jalore,72.6306,25.3346
Rajasthan,Jalore,Jalore (H/S),72.6309,25.3329
Rajasthan,Jodhpur,Ramrawas(Hs-2)Khedi Salva,73.3474,26.4281
Rajasthan,Jodhpur,Bhandu(Hs-2),72.9107,26.0885
Rajasthan,Jodhpur,Chicharli,72.7128,26.2042
Rajasthan,Jodhpur,Sinli,72.7567,26.0313
Rajasthan,Jodhpur,Pipad City,73.5497,26.3792
Rajasthan,Jodhpur,Benan,73.421,26.317
Rajasthan,Karauli,Karsai,76.933,26.425
Rajasthan,Karauli,Sahar1,76.711,26.608
Rajasthan,Nagaur,Jayal (Didwana Road),74.2282,27.2309
Rajasthan,Nagaur,Jayal Block Hq,74.1863,27.2186
Rajasthan,Nagaur,Jayal-Hs-2(Mataji Ka Xhoraha),74.1766,27.2173
Rajasthan,Nagaur,Nagaur Hs-3,73.78,27.2268
Rajasthan,Pali,Prithivipura(Hs-3),73.8052,26.2031
Rajasthan,Tonk,Tonk (Raivens Industry),75.79,26.16
Tamil Nadu,Coimbatore,Kovilvazhi Iv,77.3889,11.0583
Tamil Nadu,Coimbatore,Tn Urban Studies Pz,76.9419,11.0219
Tamil Nadu,Kancheepuram,Kalakshetra,80.2636,10.4633
