State,District,Location,Longitude,Latitude
Assam,Morigaon,Baghara,92.2758,26.2267
Bihar,Buxar,Kesath ( Pokhratola),84.2489,25.4125
Bihar,Buxar,Rajpur,84.1292,25.6847
Bihar,Jehanabad,Kako,85.063,25.2286
Bihar,Jehanabad,Alubikha,85.0335,25.0721
Bihar,Lakhisarai,Arma,86.2464,25.2
Bihar,Siwan,Bhagar,84.3715,25.9514
Bihar,Vaishali,Namidih,85.181,25.8317
Chhattisgarh,Bemetara,Rampur (Bhand),81.5047,21.5226
Chhattisgarh,Mungeli,Daukapa,81.828,22.0092
Daman And Diu,Diu,Zolawadi,70.9306,20.7242
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
Gujarat,Ahmedabad,Dalod,71.9675,23.3532
Gujarat,Ahmedabad,Viramgam2,72.0384,23.1367
Gujarat,Amreli,Devaliya,71.1083,21.8208
Gujarat,Amreli,Dhrai( Balmukand),71.1481,21.8077
Gujarat,Amreli,Bagasara,70.9608,21.4768
Gujarat,Amreli,Luvariya,71.3958,21.625
Gujarat,Amreli,Sanaria,71.4319,21.5501
Gujarat,Amreli,Mandal,71.5793,21.0994
Gujarat,Amreli,Bhuva,71.3596,21.4277
Gujarat,Amreli,Fifad,71.5376,21.4241
Gujarat,Amreli,Vanda,71.5075,21.3897
Gujarat,Anand,Kansari1,72.6516,22.3413
Gujarat,Anand,Laxmipura,72.6103,22.4196
Gujarat,Banaskantha,Amirgadh,72.6477,24.401
Gujarat,Banaskantha,Gangodra,72.3647,24.4397
Gujarat,Banaskantha,Dudhba,71.669,24.4794
Gujarat,Bharuch,Panoli,72.9748,21.5369
Gujarat,Bharuch,Navetha,72.8281,21.7091
Gujarat,Bharuch,Raymal,72.8197,21.5191
Gujarat,Bharuch,Sahol,72.8184,21.4446
Gujarat,Bharuch,Jambusar2,72.8086,22.0494
Gujarat,Bharuch,Kavi,72.6367,22.1954
Gujarat,Bharuch,Tankari,72.6691,21.9882
Gujarat,Bhavnagar,Bhudel,72.1578,21.6889
Gujarat,Bhavnagar,Bhumbhali,72.2343,21.6845
Gujarat,Bhavnagar,Ghogha,72.2817,21.6803
Gujarat,Bhavnagar,Bhutia,71.7,21.7472
Gujarat,Bhavnagar,Jalia,71.611,21.7999
Gujarat,Bhavnagar,Ayodhyapuram(Narayan Dham),71.8845,21.9522
Gujarat,Bhavnagar,Vallbhipur,71.8784,21.9004
Gujarat,Botad,Barvala,71.8942,22.1624
Gujarat,Chhota Udepur,Govindpura,73.74,22.2155
Gujarat,Devbhoomi Dwarka,Bhogat,69.2443,21.9905
Gujarat,Devbhoomi Dwarka,Gandhvi,69.3592,21.8557
Gujarat,Devbhoomi Dwarka,Gojines,69.2042,22.0246
Gujarat,Devbhoomi Dwarka,Gurgadh,69.1909,22.1947
Gujarat,Devbhoomi Dwarka,Khakharda,69.3721,22.1048
Gujarat,Devbhoomi Dwarka,Gorinja,69.0664,22.1593
Gujarat,Devbhoomi Dwarka,Korada,69.0479,22.2238
Gujarat,Devbhumi Dwarka,Kalyanpur,69.0542,22.3076
Gujarat,Devbhumi Dwarka,Lambha 1,69.3084,21.9113
Gujarat,Devbhumi Dwarka,Hanzdapur,69.4368,22.1889
Gujarat,Devbhumi Dwarka,Mojap,68.9796,22.3615
Gujarat,Devbhumi Dwarka,Samrasar1,69.1063,22.3699
Gujarat,Devbhumi Dwarka,Varwada,68.9615,22.2977
Gujarat,Gir Somnath,Nadiya Mandavi,71.0121,20.7425
Gujarat,Jamnagar,Gordhanpur,70.0027,22.4455
Gujarat,Jamnagar,Badanpar,70.3125,22.6875
Gujarat,Jamnagar,Keshiya,70.3971,22.6966
Gujarat,Junagadh,Bantva,70.0896,21.4911
Gujarat,Junagadh,Arena,70.1771,21.0808
Gujarat,Junagadh,Khorada1,70.1876,21.0722
Gujarat,Junagadh,Osa,70.0642,21.3729
Gujarat,Junagadh,Shardagram,70.1431,21.1038
Gujarat,Junagadh,Khokharda,70.3176,21.4201
Gujarat,Kachchh,Kothara,68.9088,23.1634
Gujarat,Kachchh,Mothala,69.1355,23.2031
Gujarat,Kachchh,Kakarwa,70.4066,23.4799
Gujarat,Kachchh,Ratanpur Khadir,70.3625,23.8622
Gujarat,Kachchh,Samakhiali,70.5041,23.3067
Gujarat,Kachchh,Khavada,69.7287,23.8461
Gujarat,Kachchh,Kotay,69.7847,23.3847
Gujarat,Kachchh,Lodai,69.9,23.3971
Gujarat,Kachchh,Sukhpar,69.6071,23.1987
Gujarat,Kachchh,Shinaya,70.0624,23.0395
Gujarat,Kachchh,Dolatpar,68.8936,23.5977
Gujarat,Kachchh,Kharai_1,68.684,23.4723
Gujarat,Kachchh,Lakhpat1,68.7749,23.8232
Gujarat,Kachchh,Bambhdai,69.0826,22.9415
Gujarat,Kachchh,Karagoga,69.6619,22.9381
Gujarat,Kachchh,Nani Tumbdi,69.549,22.9963
Gujarat,Kachchh,Vadala,69.8538,22.9168
Gujarat,Kachchh,Adesar,70.9597,23.5549
Gujarat,Mahesana,Maguna,72.2904,23.5772
Gujarat,Mahesana,Dosaj,72.45,23.8417
Gujarat,Mahesana,Unjha,72.3946,23.7976
Gujarat,Morbi,Halvad2,71.1854,23.0196
Gujarat,Morbi,Mathak,71.0615,22.8425
Gujarat,Morbi,Sarvad,70.7071,23.0065
Gujarat,Morbi,Chhatar,70.7531,22.5055
Gujarat,Morbi,Bhalgam,71.0826,22.4357
Gujarat,Narmada,Namaria,73.6235,22.0491
Gujarat,Navsari,Chinam,72.883,20.9986
Gujarat,Patan,Kamboi,72.0167,23.6776
Gujarat,Patan,Gochanad,71.6246,23.7713
