State,District,Location,Longitude,Latitude
Andaman & Nicobar Islands,South Andaman,Wandur – 2,92.6166,11.5878
Assam,Goalpara,Salpara,90.7008,26.0128
Assam,Nagaon,Naderigaon/ Basin Dicate,92.6569,26.1592
Bihar,Aurangabad,Aurangabad,84.3845,24.7462
Bihar,Banka,Baunsi,87.0239,24.8013
Bihar,Begusarai,Parihara,86.2738,25.536
Bihar,Begusarai,Cheriya Bariyarpur,86.0906,25.5853
Bihar,Buxar,Kesath ( Pokhratola),84.2489,25.4125
Bihar,Buxar,Rajpur,84.1292,25.6847
Bihar,Darbhanga,Afzala Balia,86.2313,25.9297
Bihar,East Chamapran,Kasba Mehsi,85.1188,26.3564
Bihar,Gaya,Konch,84.7678,24.9181
Bihar,Gaya,Wazirganj,85.2208,24.8042
Bihar,Jehanabad,Kako,85.063,25.2286
Bihar,Jehanabad,Alubikha,85.0335,25.0721
Bihar,Katihar,Manihari,87.622,25.3392
Bihar,Khagaria,Pirnagra,86.729,25.611
Bihar,Khagaria,Dewari,86.714,25.363
Bihar,Lakhisarai,Arma,86.2464,25.2
Bihar,Madhepura,Murliganj,86.9963,25.8916
Bihar,Muzzafarpur,Dholi (Tola Jahangirpur),85.5888,25.9979
Bihar,Muzzafarpur,Japaha,85.3989,26.19
Bihar,Muzzafarpur,Rajwara,84.9395,26.2585
Bihar,Nalanda,Bhui,85.4183,25.1058
Bihar,Nalanda,B Sharif Rly Stn,85.5389,25.2017
Bihar,Nalanda,Muraura,85.5522,25.2031
Bihar,Nalanda,Ekangarsarai,85.2208,25.225
Bihar,Nalanda,Islampur,85.2139,25.1356
Bihar,Nalanda,Karaiparsurai,85.2672,25.3686
Bihar,Nalanda,Nirpur,85.4219,25.1372
Bihar,Nalanda,Silao,85.4511,25.075
Bihar,Nalanda,Sithaura,85.5122,25.0389
Bihar,Nalanda,Bhathar,85.3869,25.2975
Bihar,Nawada,Rupau,85.7525,24.8604
Bihar,Nawada,Pakribrawan Pond,85.7408,24.9553
Bihar,Nawada,Shahpur Morh,85.4183,24.6503
Bihar,Samastipur,Dalsinghsaray (Police),85.8363,25.6688
Bihar,Samastipur,Karain,86.0103,25.8604
Bihar,Samastipur,Raipur,85.7965,25.7599
Bihar,Samastipur,Kishanpur,85.8438,25.9276
Bihar,Saran,Majhanpura,84.595,25.8182
Bihar,Saran,Manjhi 2,84.5754,25.8376
Bihar,Sitamarhi,Mahadeopatti,85.6338,26.7238
Bihar,Supaul,Kario,86.6487,26.1187
Bihar,Vaishali,Mathura,85.3615,25.6298
Bihar,Vaishali,Namidih,85.181,25.8317
Bihar,Vaishali,Mushari Tola,85.5978,25.8036
Chhattisgarh,Balrampur,Rajpur,83.4042,23.3375
Chhattisgarh,Bemetara,Rampur (Bhand),81.5047,21.5226
Chhattisgarh,Durg,Dargaon,81.3944,21.4917
Chhattisgarh,Mahasamund,Badesara,83.09,21.3922
Chhattisgarh,Mungeli,Rajpur,81.6522,22.5417
Chhattisgarh,Mungeli,Daukapa,81.828,22.0092
Chhattisgarh,Mungeli,Fulwari,81.6262,22.4961
Chhattisgarh,Raigarh,Rajpur,83.4872,22.4353
Daman And Diu,Daman,Devka,72.8382,20.453
Daman And Diu,Diu,Vanakbara,70.8753,20.7099
Daman And Diu,Diu,Wadiwadi,70.8832,20.7125
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
Gujarat,Ahmedabad,Dalod,71.9675,23.3532
Gujarat,Ahmedabad,Viramgam2,72.0384,23.1367
Gujarat,Amreli,Dhrai( Balmukand),71.1481,21.8077
Gujarat,Amreli,Kerala,71.2178,21.3897
Gujarat,Amreli,Sanaria,71.4319,21.5501
Gujarat,Amreli,Bhuva,71.3596,21.4277
Gujarat,Amreli,Fifad,71.5376,21.4241
Gujarat,Amreli,Piyava,71.4602,21.3795
Gujarat,Amreli,Vanda,71.5075,21.3897
Gujarat,Anand,Anklav2,72.9971,22.3764
Gujarat,Anand,Kansari1,72.6516,22.3413
Gujarat,Anand,Laxmipura,72.6103,22.4196
Gujarat,Anand,Dharmaj,72.7874,22.4207
Gujarat,Banaskantha,Amirgadh,72.6477,24.401
Gujarat,Banaskantha,Dudhba,71.669,24.4794
Gujarat,Bharuch,Raymal,72.8197,21.5191
Gujarat,Bharuch,Jambusar2,72.8086,22.0494
Gujarat,Bharuch,Kavi,72.6367,22.1954
Gujarat,Bharuch,Sarod,72.7557,22.161
Gujarat,Bharuch,Tankari,72.6691,21.9882
Gujarat,Bharuch,Luhara,72.5523,21.6721
Gujarat,Bhavnagar,Bhudel,72.1578,21.6889
Gujarat,Bhavnagar,Bhumbhali,72.2343,21.6845
Gujarat,Bhavnagar,Ghogha,72.2817,21.6803
Gujarat,Bhavnagar,Mahuva1,71.77,21.1
Gujarat,Bhavnagar,Umrala,71.8026,21.846
Gujarat,Bhavnagar,Ayodhyapuram(Narayan Dham),71.8845,21.9522
Gujarat,Bhavnagar,Vallbhipur,71.8784,21.9004
Gujarat,Botad,Barvala,71.8942,22.1624
Gujarat,Chhota Udepur,Govindpura,73.74,22.2155
Gujarat,Chhota Udepur,Bhindol,73.8971,22.2011
Gujarat,Devbhumi Dwarka,Aramda,69.035,22.4275
Gujarat,Gir Somnath,Una2,71.0416,20.8224
Gujarat,Kachchh,Samakhiali,70.5041,23.3067
Gujarat,Kachchh,Karagoga,69.6619,22.9381
Gujarat,Kachchh,Vadala,69.8538,22.9168
Gujarat,Mahesana,Dharpura,72.1118,23.544
Gujarat,Mahesana,Maguna,72.2904,23.5772
Gujarat,Mahesana,Unjha,72.3946,23.7976
Gujarat,Narmada,Rasela,73.4917,21.925
Gujarat,Narmada,Namaria,73.6235,22.0491
Gujarat,Navsari,Chinam,72.883,20.9986
Gujarat,Navsari,Dandi,72.8025,20.887
Gujarat,Navsari,Ubhrat,72.7423,21.0141
Gujarat,Navsari,Parujan,72.8363,20.0231
Gujarat,Panchmahal,Khadki Vadiya,73.5003,22.6622
Gujarat,Panchmahal,Shehra,73.625,22.9542
Gujarat,Patan,Piprala,71.0967,23.6462
Gujarat,Porbandar,Adwana2,69.5947,21.9154
