State,District,Location,Longitude,Latitude
Bihar,Arwal,Dirpal Bigha,84.7032,25.2943
Bihar,Bhagalpur,Ramchandrapur Navtoliya,86.89,25.2367
Bihar,Bhagalpur,Sultanganj,86.7,25.2417
Bihar,Bhojpur,Karnempur,84.3614,25.6675
Bihar,Buxar,Rajpur,84.1292,25.6847
Bihar,Jehanabad,Alubikha,85.0335,25.0721
Bihar,Kaimur,Tori Forest Chk. Post (Bhagwanpur),83.6054,24.9478
Bihar,Katihar,Khiria,87.455,25.6066
Bihar,Madhepura,Gwalpara,86.8956,25.7569
Bihar,Madhepura,Madhepura,86.7893,25.9172
Bihar,Madhubani,Dharjaki,85.9493,26.4426
Bihar,Muzzafarpur,Dholi (Tola Jahangirpur),85.5888,25.9979
Bihar,Patna,Mokama,85.2958,25.5042
Bihar,Saharsa,Kharkutti,86.5542,25.8693
Bihar,Saharsa,Simri Bakhtiyarpur-1,86.5824,25.7264
Bihar,Samastipur,Madudabad,85.7019,25.6024
Bihar,Samastipur,Karain,86.0103,25.8604
Bihar,Sheohar,Sasaula Khurd,85.3013,26.5368
Bihar,Sitamarhi,Bairganiya,85.2755,26.7399
Chhattisgarh,Balod,Mudkhusara,81.1195,20.8454
Chhattisgarh,Balod,Danganiya,81.2869,21.0117
Chhattisgarh,Balod,Chichalgondi,81.2582,20.9543
Chhattisgarh,Balod,Gujara,81.1317,20.6677
Chhattisgarh,Balodabazar,Bhatgaon,82.8122,21.6536
Chhattisgarh,Balodabazar,Bilaigarh,82.725,21.6375
Chhattisgarh,Balodabazar,Haswa,82.5611,21.6875
Chhattisgarh,Balodabazar,Udela,81.85,21.6083
Chhattisgarh,Bemetara,Suwartala,81.2411,21.6669
Chhattisgarh,Bilaspur,Matiyari,82.2587,22.126
Chhattisgarh,Bilaspur,Dagauri,82.0706,21.8939
Chhattisgarh,Bilaspur,Belgahana,82.0333,22.4333
Chhattisgarh,Bilaspur,Jhingatpur,81.9972,22.3667
Chhattisgarh,Bilaspur,Marwahi,82.0694,23.02
Chhattisgarh,Dhamtari,Bhatagaon,81.7003,20.8783
Chhattisgarh,Durg,Dadhi,81.475,21.8958
Chhattisgarh,Durg,Dargaon,81.3944,21.4917
Chhattisgarh,Durg,Girola,81.4381,21.3917
Chhattisgarh,Durg,Litia,81.2062,21.3501
Chhattisgarh,Durg,Murmunda,81.463,21.3091
Chhattisgarh,Durg,Ravelidih,81.3375,21.325
Chhattisgarh,Durg,Janjgiri,81.3089,21.085
Chhattisgarh,Durg,Jeora-Sirsa,81.3064,21.2564
Chhattisgarh,Durg,Nagpura,81.2264,21.2491
Chhattisgarh,Durg,Arjunda,81.2056,20.9431
Chhattisgarh,Durg,Sikosa,81.2889,20.8764
Chhattisgarh,Durg,Khurdmudi,81.4965,21.0133
Chhattisgarh,Durg,Marra,81.4583,21.0375
Chhattisgarh,Durg,Motipur,81.5458,21.1667
Chhattisgarh,Durg,Bortara,81.2222,21.6417
Chhattisgarh,Durg,Baklitola,81.0898,20.6994
Chhattisgarh,Gariyabandh,Kashi Bahara,82.1867,20.8638
Chhattisgarh,Gariyabandh,Sursabandha,81.9208,20.8806
Chhattisgarh,Janjgir Champa,Seorinarayan,82.5944,21.8611
Chhattisgarh,Janjgir Champa,Dongakahrod,82.4581,21.8467
Chhattisgarh,Jashpur,Durgapara,83.5496,23.0304
Chhattisgarh,Jashpur,Pandripani,83.706,22.922
Chhattisgarh,Jashpur,Raoni,83.6614,23.0067
Chhattisgarh,Jashpur,Binjapur,84.0333,22.7667
Chhattisgarh,Jashpur,Amdiha,83.955,22.466
Chhattisgarh,Jashpur,Tapkara,83.95,22.5042
Chhattisgarh,Jashpur,Bewartoli,83.7475,22.9083
Chhattisgarh,Jashpur,Narayanbahali,83.7814,22.6531
Chhattisgarh,Jashpur,Narayanbahali,83.7814,22.6531
Chhattisgarh,Jashpur,Kotba,83.7403,22.4333
Chhattisgarh,Kanker,Govindpur,81.4833,20.2833
Chhattisgarh,Kawardha,Danganiya,81.2042,21.9639
Chhattisgarh,Kawardha,Sahaspur Lohara.1,81.1292,21.8333
Chhattisgarh,Korba,Dhegurdih Manzipara,82.8371,22.4756
Chhattisgarh,Korba,Lenga,82.2636,22.3458
Chhattisgarh,Koriya,Bhainswar,82.27,23.4919
Chhattisgarh,Mahasamund,Suarmar,82.4958,20.9694
Chhattisgarh,Mahasamund,Jhalkhamhariya,82.1453,21.0772
Chhattisgarh,Mahasamund,Mahasamund.1,82.0958,21.1083
Chhattisgarh,Mahasamund,Badesara,83.09,21.3922
Chhattisgarh,Mungeli,Daukapa,81.828,22.0092
Chhattisgarh,Raigarh,Bakaruma,83.4361,22.5125
Chhattisgarh,Raigarh,Bakaruma,83.4361,22.5125
Chhattisgarh,Raigarh,Durgapur,83.1596,22.4805
Chhattisgarh,Raigarh,Durgapur,83.1596,22.4805
Chhattisgarh,Raigarh,Gersa,83.2347,22.3431
Chhattisgarh,Raigarh,Lailunga,83.5833,22.3833
Chhattisgarh,Raigarh,Jamgaon(Basti),83.5519,21.8692
Chhattisgarh,Raigarh,Amaghat,83.4097,22.0825
Chhattisgarh,Raigarh,Gare,83.489,22.1358
Chhattisgarh,Raipur,Ranisagar,82.0281,21.2783
Chhattisgarh,Raipur,Mandhar,81.7103,21.3528
Chhattisgarh,Raipur,Mandirhasud,81.7667,21.2208
Chhattisgarh,Raipur,Math,81.9026,21.395
Chhattisgarh,Rajnandgaon,Dongargaon.1,80.8569,20.9708
Chhattisgarh,Rajnandgaon,Kokpur I,80.7458,20.9917
Chhattisgarh,Rajnandgaon,Bharritola,80.7242,21.1989
Chhattisgarh,Rajnandgaon,Dhara,80.8594,21.255
Chhattisgarh,Rajnandgaon,Ghortalab,80.5272,21.1201
Chhattisgarh,Rajnandgaon,Govindpur,80.7017,21.0998
Chhattisgarh,Rajnandgaon,Lal Bhadurnagar,80.6861,21.1
Chhattisgarh,Rajnandgaon,Badaitola,80.9789,21.3477
Chhattisgarh,Rajnandgaon,Bhatgaon,81.0689,21.2883
Chhattisgarh,Rajnandgaon,Patewa,81.1038,21.3399
Chhattisgarh,Rajnandgaon,Ranitarai,81.0542,20.9978
Chhattisgarh,Surajpur,Odigi,82.8089,23.4739
Chhattisgarh,Surajpur,Jagannathpur,83.195,23.3786
Chhattisgarh,Surajpur,Hanumangarh,82.6476,23.0629
Chhattisgarh,Surajpur,Premnagar,82.6958,22.9667
Chhattisgarh,Surajpur,Shivnagar,82.7882,22.8815
Chhattisgarh,Surguja,Jajga,82.7847,22.9362
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
Gujarat,Ahmedabad,Dalod,71.9675,23.3532
Gujarat,Amreli,Kotadapitha,71.2063,21.9512
Gujarat,Amreli,Untvad,71.2228,21.9068
Gujarat,Amreli,Kunkavav,70.9805,21.6555
Gujarat,Amreli,Luvariya,71.3958,21.625
Gujarat,Amreli,Sanaria,71.4319,21.5501
Gujarat,Anand,Adas_Dw,73.0352,22.4725
Gujarat,Anand,Dharmaj,72.7874,22.4207
Gujarat,Anand,Ghora,73.0496,22.6926
Gujarat,Arvalli,Bibipur1,73.2125,23.2528
Gujarat,Arvalli,Boral,73.2083,23.125
Gujarat,Arvalli,Takatuka_1,73.305,23.8514
Gujarat,Arvalli,Hamirpur,73.4583,23.4083
Gujarat,Arvalli,Malpur_1,73.4644,23.3447
Gujarat,Arvalli,Gadada,73.2531,23.5753
Gujarat,Arvalli,Medasana,73.2744,23.5119
Gujarat,Arvalli,Seenawad,73.3986,23.4864
