State,District,Location,Longitude,Latitude
Assam,Cachar,Digharkhal,92.5128,24.9992
Assam,Cachar,Poilapul,93.1247,24.8319
Assam,Cachar,Hilara,92.5906,24.9275
Assam,East Karbi Anglong,Diphu 1,93.445,25.8461
Assam,Hailakandi,Lala,92.5619,24.5978
Assam,Morigaon,Jagiroad,92.1947,26.12
Assam,West Karbi Anglong,Donkamokam,92.71,25.9328
Bihar,Saran,Bisunpur,84.6943,25.9079
Bihar,Vaishali,Baksama,85.387,25.8778
Bihar,Vaishali,Harpur,85.3848,25.9177
Bihar,Vaishali,Tariya Supaul,85.442,25.8499
Bihar,Vaishali,Patepur Patepur,85.5538,25.8753
Chhattisgarh,Rajnandgaon,Somni,81.1467,21.1239
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
Gujarat,Amreli,Punjapadar,71.3592,21.5305
Gujarat,Bhavnagar,Ayodhyapuram(Narayan Dham),71.8845,21.9522
Gujarat,Botad,Barvala,71.8942,22.1624
Gujarat,Chhota Udepur,Bhindol,73.8971,22.2011
Gujarat,Gir Somnath,Jargla Jargali,70.942,20.9086
Gujarat,Jamnagar,Falla,70.3141,22.5336
Gujarat,Surendranagar,Gavana,71.8632,23.3409
Gujarat,Vadodara,Vejpur2,73.3539,22.7435
Himachal Pradesh,Bilaspur,Goyal,76.6314,31.4475
Himachal Pradesh,Bilaspur,Toba Jindiyan,76.535,31.27
Himachal Pradesh,Kangra,Channour,75.6869,32.1611
Himachal Pradesh,Kangra,Minjgram,75.9594,32.2506
Himachal Pradesh,Sirmour,Trilokpur,77.2033,30.54
Himachal Pradesh,Una,Chaproh,76.3536,31.5797
Himachal Pradesh,Una,Bhudwar,76.3703,31.5468
Himachal Pradesh,Una,Dobar,76.4181,31.4683
Jammu & Kashmir,Kathua,Pallan,75.5658,32.5564
Jammu & Kashmir,Kathua,Phinter,75.5444,32.5828
Jammu & Kashmir,Kathua,Kootah,75.2417,32.5114
Jammu & Kashmir,Kathua,Kothian,75.5083,32.3667
Jammu & Kashmir,Kupwara,Lassipora,74.3831,34.5081
Jammu & Kashmir,Udhampur,Ramnagar,75.31,32.8064
Jammu & Kashmir,Udhampur,Nagrota Panjgrain,75.2708,32.8358
Jammu & Kashmir,Udhampur,Phangyal,75.1353,32.8956
Kerala,Alappuzha,Purakkad,76.3667,9.3472
Kerala,Alappuzha,Thevery,76.5417,9.2333
Kerala,Alappuzha,Aranootimangalam,76.58,9.23
Kerala,Alappuzha,Thaikattusseri-R1,76.3417,9.7833
Kerala,Ernakulam,Kottapuram,76.3,10.1278
Kerala,Ernakulam,Karukutty,76.38,10.23
Kerala,Ernakulam,Vazhakulam North,76.4,10.1306
Kerala,Ernakulam,Vallom,76.4561,10.1203
Kerala,Ernakulam,Neriyamangalam,76.7736,10.0556
Kerala,Ernakulam,Mulanthuruthi,76.3917,9.8917
Kerala,Ernakulam,Anchalpetty,76.5,9.9139
Kerala,Ernakulam,Aikaranad,76.4278,10.0153
Kerala,Idukki,Kattapana,77.0875,9.7333
Kerala,Kannur,Cheleri,75.425,11.9403
Kerala,Kannur,Mokeri,75.5791,11.7772
Kerala,Kannur,Valapattanam,75.3583,11.925
Kerala,Kasargod,Bekal,75.0389,12.4003
Kerala,Kasargod,Kanhangad Coast,75.0778,12.3258
Kerala,Kasargod,Kasaragod-Dw,74.9875,12.4956
Kerala,Kollam,Anchalummoodu,76.6028,8.9278
Kerala,Kollam,Perinad,76.6375,8.9472
Kerala,Kollam,Paripalli,76.7611,8.8097
Kerala,Kollam,Sooranadu,76.6208,9.1
Kerala,Kottayam,Changanacherry,76.5294,9.4453
Kerala,Kottayam,Naranganam,76.75,9.75
Kerala,Kottayam,Ettumanur,76.5722,9.6697
Kerala,Kottayam,Neendur,76.505,9.6867
Kerala,Kottayam,Aranootimangalam,76.52,9.8001
Kerala,Kottayam,Kaduthuruthi,76.4922,9.7613
Kerala,Kottayam,Erumelly,76.8486,9.4806
Kerala,Kottayam,Kanjirapally,76.78,9.558
Kerala,Kottayam,Kottayam,76.5236,9.5933
Kerala,Kottayam,Paipad,76.575,9.4278
Kerala,Kottayam,Kozha,76.5667,9.7681
Kerala,Kozhikode,Devarkoil,75.7668,11.6667
Kerala,Malappuram,Chungathara,76.275,11.3333
Kerala,Malappuram,Vylattur,75.9444,10.7861
Kerala,Palakkad,Palghat,76.7722,10.6611
Kerala,Palakkad,Nenmara,76.6003,10.5939
Kerala,Palakkad,Koppam,76.1875,10.8611
Kerala,Palakkad,Pattambi,76.1889,10.8042
Kerala,Palakkad,Shornur,76.2583,10.7708
Kerala,Palakkad,Cherpulassery,76.325,10.875
Kerala,Palakkad,Trithala,76.1333,10.8
Kerala,Pathanamthita,Thelliyur,76.69,9.39
Kerala,Pathanamthita,Konni,76.85,9.23
Kerala,Pathanamthita,Naduvathumuzhi,76.92,9.2
Kerala,Pathanamthita,Kootanadu,76.7333,9.4
Kerala,Pathanamthita,Mallapally,76.65,9.45
Kerala,Pathanamthita,Muthoor,76.55,9.41
Kerala,Pathanamthita,Nilakkal,77.0133,9.3883
Kerala,Thrissur,Perinjanam,76.1478,10.3133
Kerala,Trivandrum,Chirayinkil,76.7889,8.6583
Kerala,Trivandrum,Mannanthala,76.95,8.5694
Kerala,Trivandrum,Balaramapuram,77.0458,8.4231
Kerala,Trivandrum,Neyyattinkara,77.0806,8.4111
Kerala,Trivandrum,Pangode,76.9694,8.7653
Kerala,Trivandrum,Edava,76.6972,8.7611
Kerala,Trivandrum,Kattakada,77.0833,8.5069
Kerala,Trivandrum,Nedumangad,77.0097,8.6097
Maharashtra,Buldhana,Ubalkhed,76.0856,20.5994
Maharashtra,Gadchiroli,Chandona Tola,80.2667,20.55
Maharashtra,Kolhapur,Kanura Khurd,74.1025,15.9653
Maharashtra,Kolhapur,Shirgaon1,74.2089,15.945
Maharashtra,Kolhapur,Panhala,74.1,16.8167
Maharashtra,Sindudurg,Pomburla,73.5394,16.4933
Meghalaya,East Garo Hills,Samanda Megapagre,90.5269,25.5797
Meghalaya,East Khasi Hills,Mawkynep,91.5958,25.3372
Meghalaya,East Khasi Hills,Tyrsad,91.6592,25.4064
Meghalaya,North Garo Hills,Bajengdoba New,90.5045,25.8969
Meghalaya,North Garo Hills,Mendipathar,90.6422,25.8982
Meghalaya,North Garo Hills,Wa Geasi,90.7875,25.8224
Meghalaya,Ribhoi,Pathar Khamma Barigaon,91.5947,25.8714
Meghalaya,South West Garo Hill,Baghmara,90.6319,25.2042
Meghalaya,South West Garo Hill,Garobandha,90.0225,25.58
Meghalaya,South West Garo Hill,Gasuapara,90.3103,25.2008
Meghalaya,West Garo Hill,Dalu,90.2125,25.2278
Meghalaya,West Garo Hill,Rongram,90.2515,25.5957
Nagaland,Dimapur,Douapur Dmc,93.6044,25.7611
Odisha,Anugul,Amna,85.1689,20.8489
Odisha,Cuttack,Athagarh-1,85.6169,20.5089
Odisha,Cuttack,Chowdwar,85.92,20.5175
Odisha,Sonapur,Singhijuba,83.7394,21.0833
Odisha,Sonapur,Sarasmal,83.6661,21.1167
Rajasthan,Barmer,Ramsar,70.8719,25.7303
Rajasthan,Barmer,Loonakalan,71.9829,25.4481
Rajasthan,Bikaner,Mahajan,73.833,28.783
Rajasthan,Hanumangarh,Bisrasar,74.278,28.867
Rajasthan,Jodhpur,Ramdawas,73.3658,26.3658
Rajasthan,Jodhpur,Guda Rayka,73.0937,26.1323
Rajasthan,Jodhpur,Raron Ki Dhani,72.775,26.194
Tripura,North Tripura,Deocherra,92.1597,24.3103
Tripura,North Tripura,Panisagar,92.1522,24.2642
Tripura,Sepahijala,Rajib Nagar,91.3906,23.5712
Tripura,South Tripura,Ananda Bandhu Para,91.7642,23.3394
Tripura,Unakoti,Gaurnagar,92.0333,24.2893
Uttar Pradesh,Aligarh,"Arya Nagar, Nagla Masani",78.0548,27.8838
Uttar Pradesh,Aligarh,Roravar,78.0461,27.8725
Uttar Pradesh,Aligarh,Langotgarhi,77.7138,28.0197
Uttar Pradesh,Hathras,Mohari,78.1531,27.6494
Uttar Pradesh,Jaunpur,Dharampur,82.7475,25.7525
Uttar Pradesh,Kanpur Nagar,Hand Pump At The Out Side Of Block,80.4878,26.286
Uttar Pradesh,Mainpuri,Naladurja,78.7313,27.2757
Uttar Pradesh,Mainpuri,Block Office,79.2656,27.0316
Uttar Pradesh,Mathura,Block H.Q,77.82,27.4114
Uttar Pradesh,Mathura,Puthari,77.3194,27.7575
Uttar Pradesh,Mathura,Thok Bindavani,77.9041,27.5697
Uttar Pradesh,Sant Kabir Nagar,Mandir Adjacent To H/O Sudama S/O,83.0357,27.0109
Uttarakhand,Almora,Deepakot,79.2972,29.8428
Uttarakhand,Almora,Jholi,79.6008,29.6319
Uttarakhand,Almora,Baniya Diggi,79.4653,29.5939
Uttarakhand,Almora,Naula,79.2519,29.7358
Uttarakhand,Almora,Deghat*,79.2634,29.7837
Uttarakhand,Almora,Lodh,79.5256,29.7858
Uttarakhand,Dehradun,Sabhawala,77.8,30.3689
Uttarakhand,Dehradun,Baluwala,77.7825,30.4444
Uttarakhand,Dehradun,Sabhawala,77.8,30.3689
Uttarakhand,Uttarkashi,Ganganani Spring *,78.68,30.9031
West Bengal,Birbhum,Hatjanbazar,87.5315,23.8842
West Bengal,Kolkata,Salt Lake,88.4386,22.577
West Bengal,South 24 Parganas,Tangtala,88.1879,21.8747
West Bengal,South 24 Parganas,Natunhat,88.214,21.8406
Goa,North Goa,Adavapal,73.896,15.6399
Goa,North Goa,Nagjhar,73.8529,15.7084
Goa,South Goa,Bhati,74.2265,15.1318
Goa,South Goa,Jambavali,74.0953,15.1866
Goa,South Goa,Kalay,74.1801,15.2885
Goa,South Goa,Panchiwada,74.0952,15.2836
Goa,South Goa,Suktolim,74.1753,15.3638
Goa,South Goa,Vaddem/Waddem,74.2075,15.1306
Goa,South Goa,Vinchurdem,74.2032,15.1036
Karnataka,Bidar,Islampur,77.0213,17.7803
Karnataka,Dharwad,Kalkurdi,74.9258,15.1808
Karnataka,Dharwad,Kundgol(A),75.2464,15.2537
Karnataka,Gadag,Basavapur,75.8339,15.1958
Karnataka,Gadag,Belavanki,75.5673,15.6705
Karnataka,Kolar,Antarganga,78.104,13.1414
Karnataka,Shivmoga,Guddekeri,75.1294,13.5642
Karnataka,Shivmoga,Agumbe,75.1,13.5167
Karnataka,Shivmoga,Devangi,75.2669,13.6303
Karnataka,Shivmoga,Ganapathikatte(Surani),75.2333,13.7167
Karnataka,Shivmoga,Konandur,75.3175,13.7392
Karnataka,Shivmoga,Gartikere,75.2333,13.8917
Karnataka,Shivmoga,Ullur(Thyagarthi Cross),75.1175,14.1225
Karnataka,Shivmoga,Sagar,75.0333,14.1667
Karnataka,North Goa,Anjuna Beach,73.7383,15.5842
Karnataka,North Goa,Jambhul Batt (Mayem Lake),73.926,15.5804
Karnataka,North Goa,Amberem,73.8245,15.7405
Karnataka,North Goa,Haspur,73.9036,15.737
Karnataka,North Goa,Nagargoan,74.1632,15.5616
Karnataka,South Goa,Netrolim,74.2167,15.0907
Goa,North Goa,Anjuna Beach,73.7383,15.5842
Goa,North Goa,Jambhul Batt (Mayem Lake),73.926,15.5804
Goa,North Goa,Amberem,73.8245,15.7405
Goa,North Goa,Haspur,73.9036,15.737
Goa,North Goa,Nagargoan,74.1632,15.5616
Goa,South Goa,Netrolim,74.2167,15.0907
Haryana,Bhiwani,Jhumpa Kalan,75.5294,28.7733
Haryana,Gurugram,Fazilpur Badli,76.8583,28.425
Haryana,Gurugram,Khori Kalan,77.0569,28.2358
Haryana,Gurugram,Meoka,76.9192,28.4089
Haryana,Gurugram,Kherla,77.1153,28.3139
Haryana,Gurugram,Bhirawati,77.1442,28.224
Haryana,Gurugram,Narsinghpur,76.9168,28.409
Haryana,Gurugram,Bhorakalan,76.829,28.301
Haryana,Gurugram,Pathredi,76.774,28.337
Haryana,Jhajjar,Deasalpur,76.867,28.6453
Haryana,Jhajjar,Kheri Jat,76.7864,28.5929
Haryana,Jhajjar,Kulashi,76.91,28.7739
Haryana,Jhajjar,Sankol,76.8417,28.675
Haryana,Jhajjar,Dhandlah,76.621,28.7555
Haryana,Jhajjar,Majra Dubhaldhan,76.4944,28.7
Haryana,Jhajjar,Machhrauli,76.6476,28.4728
Haryana,Jhajjar,Palra,76.5361,28.6475
Haryana,Jhajjar,Silana,76.6784,28.548
Haryana,Jhajjar,Surkakhpur Viran,76.5635,28.5119
Haryana,Jind,Alewa,76.4521,29.4784
Haryana,Jind,Bighana,76.4836,29.4991
Haryana,Jind,Raichandwala,76.4174,29.3966
Haryana,Jind,Chhabri,76.4583,29.2667
Haryana,Jind,Haibtatpur,76.3476,29.3369
Haryana,Jind,Lochab,76.43,29.3578
Haryana,Jind,Dhigana,76.4364,29.2208
