State,District,Location,Longitude,Latitude
Andaman & Nicobar Islands,South Andaman,Ferrarganj,92.6531,11.7175
Bihar,Samastipur,Raipur,85.7965,25.7599
Bihar,Siwan,Tarwara Block,84.4863,26.1832
Bihar,Vaishali,Chak Sikandar,85.3316,25.684
Bihar,Vaishali,Kachanpur,85.2656,25.6668
Chhattisgarh,Korba,Kothari Naka,82.6805,22.1263
Chhattisgarh,Korba,Salora,82.5967,22.4948
Chhattisgarh,Koriya,Manendragarh,82.2058,23.2167
Chhattisgarh,Raigarh,Lipti,83.3797,22.6508
Chhattisgarh,Raigarh,Lipti,83.3797,22.6508
Daman And Diu,Diu,Vanakbara,70.8753,20.7099
Daman And Diu,Diu,Wadiwadi,70.8832,20.7125
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
Gujarat,Ahmedabad,Dalod,71.9675,23.3532
Gujarat,Ahmedabad,Viramgam2,72.0384,23.1367
Gujarat,Amreli,Lathi,71.383,21.727
Gujarat,Amreli,Bhuva,71.3596,21.4277
Gujarat,Amreli,Vanda,71.5075,21.3897
Gujarat,Banaskantha,Hadad,72.98,24.2628
Gujarat,Banaskantha,Meda,72.2853,24.3979
Gujarat,Bharuch,Jambusar2,72.8086,22.0494
Gujarat,Bhavnagar,Mahuva1,71.77,21.1
Gujarat,Bhavnagar,Ayodhyapuram(Narayan Dham),71.8845,21.9522
Gujarat,Bhavnagar,Vallbhipur,71.8784,21.9004
Gujarat,Botad,Barvala,71.8942,22.1624
Gujarat,Chhota Udepur,Govindpura,73.74,22.2155
Gujarat,Chhota Udepur,Bhindol,73.8971,22.2011
Gujarat,Dang,Nadak Khadi,73.6131,20.8031
Gujarat,Devbhumi Dwarka,Aramda,69.035,22.4275
Gujarat,Gir Somnath,Una2,71.0416,20.8224
Gujarat,Kachchh,Kakarwa,70.4066,23.4799
Gujarat,Kachchh,Kotay,69.7847,23.3847
Gujarat,Kachchh,Karagoga,69.6619,22.9381
Gujarat,Mahesana,Kheralu-1,72.6075,23.8872
Gujarat,Navsari,Ubhrat,72.7423,21.0141
Gujarat,Navsari,Parujan,72.8363,20.0231
Gujarat,Panchmahal,Khadki Vadiya,73.5003,22.6622
Gujarat,Patan,Piprala,71.0967,23.6462
Gujarat,Porbandar,Kadegi,69.9801,21.4519
Gujarat,Porbandar,Porbandar1,69.6167,21.641
Gujarat,Rajkot,Kamlapur,71.1999,22.1382
Gujarat,Surat,Mota,73.0697,21.1706
Gujarat,Surat,Olpad2,72.7537,21.3371
Gujarat,Surat,Sultanabad,72.7193,21.0842
Gujarat,Surendranagar,Gavana,71.8632,23.3409
Gujarat,Surendranagar,Malvan,71.7504,23.0614
Gujarat,Surendranagar,Vaghela,71.6572,22.6577
Gujarat,Valsad,Malgalwad Fansa,72.7865,20.3448
Jharkhand,E. Singhbhum,Sundarnagar1,86.1725,22.8278
Jharkhand,E. Singhbhum,Kalikapur,86.285,22.6158
Maharashtra,Bhandara,Khair Langi,79.7844,21.4092
Maharashtra,Gondia,Dhabetekdi,79.9647,20.79
Maharashtra,Nagpur,Tarsha,79.3811,21.2258
Odisha,Anugul,Banarpal 2,85.2142,20.8406
Odisha,Anugul,Luhamunda,84.9978,21.09
Odisha,Bargarh,Jamurda,83.6625,21.3722
Odisha,Cuttack,Sankhmiri,85.3361,20.375
Odisha,Mayurbhanj,Moranda,86.0347,22.3625
Odisha,Nayagarh,Madhyakhand 2,84.9267,20.3414
Odisha,Nuapada,Sahipala,82.6778,20.8281
Odisha,Nuapada,Sarabong,82.4689,20.8111
Odisha,Sambalpur,"Gosala, Dw",83.8994,21.4258
Rajasthan,Alwar,Lachmangarh,76.86,27.35
Rajasthan,Alwar,Mandawar,76.5455,27.8696
Rajasthan,Barmer,Sawau Padam Singh,71.8067,26.1503
